score,content,case folding,remove punctuation
5,"App nya udah bagus, dan metode pembayarannya juga udah lebih banyak dari sebelumnya. Cuma untuk metode pembayaran blu by BCA, masih susah untuk proses bindingnya terutama ketika memasukkan password. Padahal sudah sesuai dan benar namun tetap dianggap salah. Mohon diperbaiki dan terima kasih","app nya udah bagus, dan metode pembayarannya juga udah lebih banyak dari sebelumnya. cuma untuk metode pembayaran blu by bca, masih susah untuk proses bindingnya terutama ketika memasukkan password. padahal sudah sesuai dan benar namun tetap dianggap salah. mohon diperbaiki dan terima kasih",  udah bagus  metode pembayarannya juga udah lebih banyak dari sebelumnya cuma untuk metode pembayaran    masih susah untuk proses bindingnya terutama ketika memasukkan password padahal sudah sesuai  benar namun tetap dianggap salah mohon diperbaiki  terima kasih
5,Aplikasi sudah berfungsi dgn ngnbvb,aplikasi sudah berfungsi dgn ngnbvb,aplikasi sudah berfungsi  ngnbvb
5,"Keren banget skrng bisa naik Mrt jadi lebih mudah, tapi aplikasinya masih butuh sedikit perbaikan, saya gak bisa verifikasi KTP padahal udh di tap tapi tetep gabisa, tapi gpp yang penting aplikasinya bisa di gunakan untuk Mrt walaupun belum verifikasi ktp","keren banget skrng bisa naik mrt jadi lebih mudah, tapi aplikasinya masih butuh sedikit perbaikan, saya gak bisa verifikasi ktp padahal udh di tap tapi tetep gabisa, tapi gpp yang penting aplikasinya bisa di gunakan untuk mrt walaupun belum verifikasi ktp",keren banget skrng bisa naik  jadi lebih mudah tapi aplikasinya masih butuh sedikit perbaikan saya  bisa verifikasi  padahal    tapi tetep gabisa tapi  yang penting aplikasinya bisa  gunakan untuk  walaupun belum verifikasi 
5,Fasilitas Transportasi yang Mantap,fasilitas transportasi yang mantap,fasilitas transportasi yang mantap
5,"Pernah coba2 pake aplikasi ini buat beli tiket, padahal bawa flash waktu itu. Eh ternyata ngebantu juga, lancar, keren 👍","pernah coba2 pake aplikasi ini buat beli tiket, padahal bawa flash waktu itu. eh ternyata ngebantu juga, lancar, keren 👍",pernah coba pake aplikasi  buat beli tiket padahal bawa flash waktu   ternyata ngebantu juga lancar keren
5,"semoga bisa lebih berkembang lagi, khususnya perbanyak promo/diskon, spt 10x perjalanan gratis 1x perjalanan. tks","semoga bisa lebih berkembang lagi, khususnya perbanyak promo/diskon, spt 10x perjalanan gratis 1x perjalanan. tks",semoga bisa lebih berkembang lagi khususnya perbanyak promodiskon   perjalanan gratis  perjalanan 
5,belum coba sih tapi unduh dulu. keren aja belajar naik MRT lewat aplikasi bayar juga lewat aplikasi. kita orang daerah coba coba ke Ibukota dengan modal smartphone naik MRT. makasih app MRT J. besok kita coba test,belum coba sih tapi unduh dulu. keren aja belajar naik mrt lewat aplikasi bayar juga lewat aplikasi. kita orang daerah coba coba ke ibukota dengan modal smartphone naik mrt. makasih app mrt j. besok kita coba test,belum coba  tapi unduh dulu keren  belajar naik  lewat aplikasi bayar juga lewat aplikasi kita orang daerah coba coba  ibukota dengan modal smartphone naik  makasih    besok kita coba test
5,"MRT..lux, rapi, bersih,..mantul banget...seperti MRT Singapore. Usul kedepan diperbanyak untuk yg bayar tiketnya pakai fasilitas tidak hanya Link aja, tapi juga OVO, DANA, GOpay..itu aja..dari saya..sukses slalu MRT","mrt..lux, rapi, bersih,..mantul banget...seperti mrt singapore. usul kedepan diperbanyak untuk yg bayar tiketnya pakai fasilitas tidak hanya link aja, tapi juga ovo, dana, gopay..itu aja..dari saya..sukses slalu mrt",mrtlux rapi bersihmantul bangetseperti  singapore usul kedepan diperbanyak untuk  bayar tiketnya pakai fasilitas tidak hanya link  tapi juga  dana gopayitu ajadari sayasukses slalu 
5,Sangat bermanfaat apk ini untuk rombongan Apalagi satpamnya ramah semua. Dan proses scan juga cepat,sangat bermanfaat apk ini untuk rombongan apalagi satpamnya ramah semua. dan proses scan juga cepat,sangat bermanfaat   untuk rombongan apalagi satpamnya ramah semua  proses scan juga cepat
5,"Aplikasi bagus banget dan sukses bagi pembuatnya, karena bisa beroperasi dengan lancar tanpa ada masalah. 👍👍","aplikasi bagus banget dan sukses bagi pembuatnya, karena bisa beroperasi dengan lancar tanpa ada masalah. 👍👍",aplikasi bagus banget  sukses bagi pembuatnya karena bisa beroperasi dengan lancar tanpa  masalah
5,sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :),sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :), belom mencoba apknya namun  memeberikan bintang lima karena suatu pekerja  sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk 
5,Pengalaman pertama pake aplikasi MRT-J sangat memuaskan dan terbantu sekali. Pembelian tiket pun sangat mudah dan QR code tidak bermasalah saat tap in dan tap out stasiun MRT. Petugas di lapangannya pun sangat ramah dan membantu sekali untuk saya dan keluarga yang baru pertama kali naik MRT Jakarta.,pengalaman pertama pake aplikasi mrt-j sangat memuaskan dan terbantu sekali. pembelian tiket pun sangat mudah dan qr code tidak bermasalah saat tap in dan tap out stasiun mrt. petugas di lapangannya pun sangat ramah dan membantu sekali untuk saya dan keluarga yang baru pertama kali naik mrt jakarta.,pengalaman pertama pake aplikasi mrtj sangat memuaskan  terbantu sekali pembelian tiket  sangat mudah   code tidak bermasalah saat      stasiun  petugas  lapangannya  sangat ramah  membantu sekali untuk saya  keluarga yang baru pertama kali naik  jakarta
5,Sangat membantu,sangat membantu,sangat membantu
5,"Alhamdulillah, sudah merasakan naik MRT-Jakarta, semuanya serba tertib teratur, dan yang paling penting cepat & bebas dari kemacetan.","alhamdulillah, sudah merasakan naik mrt-jakarta, semuanya serba tertib teratur, dan yang paling penting cepat & bebas dari kemacetan.",alhamdulillah sudah merasakan naik mrtjakarta semuanya serba tertib teratur  yang paling penting cepat bebas dari kemacetan
5,"Update lagi dengan alarm kedatangan, alarm keberangkatan dan alarm ketika mau sampai stasiun tujuan","update lagi dengan alarm kedatangan, alarm keberangkatan dan alarm ketika mau sampai stasiun tujuan",update lagi dengan alarm kedatangan alarm keberangkatan  alarm ketika  sampai stasiun tujuan
5,"semoga bermanfaat dengan baik, upgradenya semoga terus berkembang tanpa bug","semoga bermanfaat dengan baik, upgradenya semoga terus berkembang tanpa bug",semoga bermanfaat dengan baik upgradenya semoga terus berkembang tanpa 
5,"sudah daftar, mudah dan cepat, tetapi blm dicoba aplikasinya","sudah daftar, mudah dan cepat, tetapi blm dicoba aplikasinya",sudah daftar mudah  cepat tetapi  dicoba aplikasinya
5,"KEREN banget gampang juga pesennya, kemarin beli yang grup buat 4 orang jdi bisa naik mrt bareng temen2 tanpa harus punya kartu","keren banget gampang juga pesennya, kemarin beli yang grup buat 4 orang jdi bisa naik mrt bareng temen2 tanpa harus punya kartu",keren banget gampang juga pesennya kemarin beli yang grup buat orang  bisa naik  bareng temen tanpa harus punya kartu
5,"Menyenangkan bersama keluarga, bisa sampai tujuan dengan cepat dan biaya murah.","menyenangkan bersama keluarga, bisa sampai tujuan dengan cepat dan biaya murah.",menyenangkan bersama keluarga bisa sampai tujuan dengan cepat  biaya murah
5,"mantap... sangat menolong, ga perlu lagi harus beli 5 kartu buat bawa 4 anak , cukup scan beres","mantap... sangat menolong, ga perlu lagi harus beli 5 kartu buat bawa 4 anak , cukup scan beres",mantap sangat menolong  perlu lagi harus beli kartu buat bawa anak cukup scan beres
5,"senang ada transportasi ini, sangat mempermudah transportasi, simple, cepat, tepat.","senang ada transportasi ini, sangat mempermudah transportasi, simple, cepat, tepat.",senang  transportasi  sangat mempermudah transportasi simple cepat tepat
5,"Sangat membantu perjalanan dengan aman, lancar, dan nyaman. semoga tetap jaya MRT.","sangat membantu perjalanan dengan aman, lancar, dan nyaman. semoga tetap jaya mrt.",sangat membantu perjalanan dengan aman lancar  nyaman semoga tetap jaya 
5,"Transportasi massal yang cepat, tepat waktu dan nyaman dan terintegrasi dengan modal transportasi lainnya","transportasi massal yang cepat, tepat waktu dan nyaman dan terintegrasi dengan modal transportasi lainnya",transportasi massal yang cepat tepat waktu  nyaman  terintegrasi dengan modal transportasi lainnya
5,"MRT Jakarta adalah moda sarana transportasi Publik. Perlu di iklankan di media masa, agar Masyarakat semakin familiar dan ditingkatkan sarana pelayanannya. Dengan ada nya moda transportasi 🚇🚍🚋 Publik yang nyaman dan tepat waktu, maka masyarakat akan beralih dari moda transport pribadi ke sarana moda transportasi Publik. kerja sama Tim yang solid adalah kunci jawaban nya untuk membentuk suatu layanan moda transportasi yang Tangguh dan berkelas. Hormat saya, Andri H Terima Kasih.","mrt jakarta adalah moda sarana transportasi publik. perlu di iklankan di media masa, agar masyarakat semakin familiar dan ditingkatkan sarana pelayanannya. dengan ada nya moda transportasi 🚇🚍🚋 publik yang nyaman dan tepat waktu, maka masyarakat akan beralih dari moda transport pribadi ke sarana moda transportasi publik. kerja sama tim yang solid adalah kunci jawaban nya untuk membentuk suatu layanan moda transportasi yang tangguh dan berkelas. hormat saya, andri h terima kasih.", jakarta adalah moda sarana transportasi publik perlu  iklankan  media masa agar masyarakat semakin familiar  ditingkatkan sarana pelayanannya dengan   moda transportasi publik yang nyaman  tepat waktu maka masyarakat akan beralih dari moda transport pribadi  sarana moda transportasi publik kerja sama  yang solid adalah kunci jawaban  untuk membentuk suatu layanan moda transportasi yang tangguh  berkelas hormat saya andri  terima kasih
5,"Kode refeal : 716605 update, tambahkan alarm kedatangan dan ketika sampai tujuan","kode refeal : 716605 update, tambahkan alarm kedatangan dan ketika sampai tujuan",kode refeal update tambahkan alarm kedatangan  ketika sampai tujuan
5,Aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri
