score,content,case folding,remove punctuation
5,"Sebelumnya saya ingin mengucapkan terima kasih. Dengan adanya aplikasi friendly user, gampang digunakan bahkan untuk pemula sekalipun. Saya merasa terbantu pada saat mudik gratis, tidak neko2 tidak KKN dengan para petugas yg ramah dan sabar saat validasi, sungguh ini sangat kami apresiasi. Terima kasih sdh berikan pelayanan yg terbaik buat kami.","sebelumnya saya ingin mengucapkan terima kasih. dengan adanya aplikasi friendly user, gampang digunakan bahkan untuk pemula sekalipun. saya merasa terbantu pada saat mudik gratis, tidak neko2 tidak kkn dengan para petugas yg ramah dan sabar saat validasi, sungguh ini sangat kami apresiasi. terima kasih sdh berikan pelayanan yg terbaik buat kami.",sebelumnya saya ingin mengucapkan terima kasih dengan adanya aplikasi friendly user gampang digunakan bahkan untuk pemula sekalipun saya merasa terbantu pada saat mudik gratis tidak neko tidak  dengan para petugas  ramah  sabar saat validasi sungguh  sangat kami apresiasi terima kasih  berikan pelayanan  terbaik buat kami
5,"untuk mitra darat dalam hal ini kementerian perhubungan saya mengucapkan terima kasih,lumayan,cukup susah untuk masuk daftarnya meskipun sering voucher tidak valid.tapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi ada kendala mengenai jumlah anggota peserta yang di batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami ada tiga anak dan itupun tidak terdata, mau tidak mau mungkin harus di pangku.demikian salah satu kendala di data kependudukan spy d tmbh kuota","untuk mitra darat dalam hal ini kementerian perhubungan saya mengucapkan terima kasih,lumayan,cukup susah untuk masuk daftarnya meskipun sering voucher tidak valid.tapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi ada kendala mengenai jumlah anggota peserta yang di batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami ada tiga anak dan itupun tidak terdata, mau tidak mau mungkin harus di pangku.demikian salah satu kendala di data kependudukan spy d tmbh kuota",untuk mitra darat dalam   kementerian perhubungan saya mengucapkan terima kasihlumayancukup susah untuk masuk daftarnya meskipun sering voucher tidak validtapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi  kendala mengenai jumlah anggota peserta yang  batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami  tiga anak  itupun tidak terdata  tidak  mungkin harus  pangkudemikian salah satu kendala  data kependudukan   tmbh kuota
5,"Tolong diperbaiki sistem mudik gratisnya, kalo udah pilih kursi dan ngisi data harusnya udah jadi hak milik.. jangan tiba"" udh diisi orang lain dan tambahkan opsi batalkan tiket","tolong diperbaiki sistem mudik gratisnya, kalo udah pilih kursi dan ngisi data harusnya udah jadi hak milik.. jangan tiba"" udh diisi orang lain dan tambahkan opsi batalkan tiket",tolong diperbaiki sistem mudik gratisnya kalo udah pilih kursi  ngisi data harusnya udah jadi  milik jangan tiba  diisi orang lain  tambahkan opsi batalkan tiket
5,saya rute bus trans banjarbakula aplikasi ini sangat membantu kami dan memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang,saya rute bus trans banjarbakula aplikasi ini sangat membantu kami dan memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang,saya rute  trans banjarbakula aplikasi  sangat membantu kami  memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang
5,"Baru kali ini saya menggunakan aplikasi pemerintah yang benar-benar bagus dan keren! Aplikasi Mitradarat sangat membantu untuk mudik dan berpergian dengan bus. Fitur tracking busnya membuat saya bisa mengetahui posisi bus dengan mudah. Sangat puas dengan pengalaman ini, semoga terus ditingkatkan!","baru kali ini saya menggunakan aplikasi pemerintah yang benar-benar bagus dan keren! aplikasi mitradarat sangat membantu untuk mudik dan berpergian dengan bus. fitur tracking busnya membuat saya bisa mengetahui posisi bus dengan mudah. sangat puas dengan pengalaman ini, semoga terus ditingkatkan!",baru kali  saya menggunakan aplikasi pemerintah yang benarbenar bagus  keren aplikasi mitradarat sangat membantu untuk mudik  berpergian dengan  fitur tracking busnya membuat saya bisa mengetahui posisi  dengan mudah sangat puas dengan pengalaman  semoga terus ditingkatkan
5,"2 Tahun ini 2024 & 2025,ngga kebagian terus,,habis terus.Jangan2 ada calonya ya.Tiap jam tiap hari cek.selalu habis.Giliran ada info kuota,masuk susah.","2 tahun ini 2024 & 2025,ngga kebagian terus,,habis terus.jangan2 ada calonya ya.tiap jam tiap hari cek.selalu habis.giliran ada info kuota,masuk susah.",tahun  ngga kebagian terushabis terusjangan  calonya yatiap  tiap hari cekselalu habisgiliran  info kuotamasuk susah
5,bagus sekali aplikasi ini sgt memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis,bagus sekali aplikasi ini sgt memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis,bagus sekali aplikasi   memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis
5,"Sangat membantu buat kami dengan adanya mudik geratis tapi sayang sy belum dapat tiketnya padahal sudah coba berkali""","sangat membantu buat kami dengan adanya mudik geratis tapi sayang sy belum dapat tiketnya padahal sudah coba berkali""",sangat membantu buat kami dengan adanya mudik geratis tapi sayang  belum dapat tiketnya padahal sudah coba berkali
5,"Semoga amplikasi mitradarat semakin maju dan berkembang bikin indonesia maju bisa ter wujud...teruskan mudik gratis tiap tahun leh banyank dan banyak.,biar rakyat kecil senang.","semoga amplikasi mitradarat semakin maju dan berkembang bikin indonesia maju bisa ter wujud...teruskan mudik gratis tiap tahun leh banyank dan banyak.,biar rakyat kecil senang.",semoga amplikasi mitradarat semakin maju  berkembang bikin indonesia maju bisa  wujudteruskan mudik gratis tiap tahun  banyank  banyakbiar rakyat kecil senang
5,"Lumayan bagus, bisa tau arah bus dan jadwal busnya, semoga semakin berkembang aplikasinya.","lumayan bagus, bisa tau arah bus dan jadwal busnya, semoga semakin berkembang aplikasinya.",lumayan bagus bisa  arah   jadwal busnya semoga semakin berkembang aplikasinya
5,"Aplikasi yang sangat bagus dan berguna bagi masyarakat,,untuk saran update mungkin sebulan sekali khususnya menu AKAP karena moda transportasi indonesia skrng lgi maju²nya banyak unit PO besar sudah ber GPS,untuk updatnya tambah informasi sebanyak²nya dalam aplikasi tersebut terus update PO² swasta agar makin rame","aplikasi yang sangat bagus dan berguna bagi masyarakat,,untuk saran update mungkin sebulan sekali khususnya menu akap karena moda transportasi indonesia skrng lgi maju²nya banyak unit po besar sudah ber gps,untuk updatnya tambah informasi sebanyak²nya dalam aplikasi tersebut terus update po² swasta agar makin rame",aplikasi yang sangat bagus  berguna bagi masyarakatuntuk saran update mungkin sebulan sekali khususnya menu akap karena moda transportasi indonesia skrng  majunya banyak unit  besar sudah  gpsuntuk updatnya tambah informasi sebanyaknya dalam aplikasi tersebut terus update  swasta agar makin rame
5,Aplikasi MitraDarat sangat recomended bagi teman-teman yang senang berpergian ke luar kota dengan menggunakan transportasi umum bus. Karena dengan aplikasi ini teman-teman bisa mengakses informasi rute dan melacak posisi bus di tiap-tiap daerah di Indonesia.,aplikasi mitradarat sangat recomended bagi teman-teman yang senang berpergian ke luar kota dengan menggunakan transportasi umum bus. karena dengan aplikasi ini teman-teman bisa mengakses informasi rute dan melacak posisi bus di tiap-tiap daerah di indonesia.,aplikasi mitradarat sangat recomended bagi temanteman yang senang berpergian  luar kota dengan menggunakan transportasi umum  karena dengan aplikasi  temanteman bisa mengakses informasi rute  melacak posisi   tiaptiap daerah  indonesia
5,Sudah bagus sih tapi saran untuk aplikasi untuk keterangan waktu berangkat ada bagusnya di tampilkann dan berapa menit perjalanan dari posisi bus ke pelanggan dikasih waktunya lebih dipermudah,sudah bagus sih tapi saran untuk aplikasi untuk keterangan waktu berangkat ada bagusnya di tampilkann dan berapa menit perjalanan dari posisi bus ke pelanggan dikasih waktunya lebih dipermudah,sudah bagus  tapi saran untuk aplikasi untuk keterangan waktu berangkat  bagusnya  tampilkann  berapa menit perjalanan dari posisi   pelanggan dikasih waktunya lebih dipermudah
5,"Naik bus terasa aman dan nyaman, trayek koridor B dan C minta tambahan bus karena menunggu bus berikutnya menyita waktu cukup lama","naik bus terasa aman dan nyaman, trayek koridor b dan c minta tambahan bus karena menunggu bus berikutnya menyita waktu cukup lama",naik  terasa aman  nyaman trayek koridor    minta tambahan  karena menunggu  berikutnya menyita waktu cukup lama
5,"Aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke.","aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke.",aplikasi sangat bagus tampilan mudah dimengerti semua fitur sangat bagus dikemas dalam interface yang rapih pengingat kedatangan  yang paling berguna hanya terkadang live trackingnya agak sedikit terlambat sisanya 
5,Mudah mudahan cara daftarnya gambang mendapatkan tiketnya.,mudah mudahan cara daftarnya gambang mendapatkan tiketnya.,mudah mudahan cara daftarnya gambang mendapatkan tiketnya
