normalized,stemmed text,token_count,stemmed_list,polarity_score,polarity,polarity_num
"['bagus', 'membantu', 'sistem', 'tracking', 'notifikasi', 'pengguna', 'menunggu', 'halte', 'bagus', 'membantu', 'terima', 'kasih']","['bagus', 'bantu', 'sistem', 'tracking', 'notifikasi', 'guna', 'tunggu', 'halte', 'bagus', 'bantu', 'terima', 'kasih']",118,"['bagus', 'bantu', 'sistem', 'tracking', 'notifikasi', 'guna', 'tunggu', 'halte', 'bagus', 'bantu', 'terima', 'kasih']",12,Positive,1
"['mitra', 'darat', 'kementerian', 'perhubungan', 'terima', 'kasihlumayancukup', 'sulit', 'masuk', 'daftarnya', 'voucher', 'validtapi', 'klik', 'tombol', 'berulang', 'ulang', 'masuk', 'masalah', 'anggota', 'peserta', 'batasi', 'kartu', 'keluarga', 'anak', 'itupun', 'terdata', 'pangkudemikian', 'salah', 'masalah', 'data', 'kependudukan', 'tmbh', 'paket', 'data']","['mitra', 'darat', 'menteri', 'hubung', 'terima', 'kasihlumayancukup', 'sulit', 'masuk', 'daftar', 'voucher', 'validtapi', 'klik', 'tombol', 'ulang', 'ulang', 'masuk', 'masalah', 'anggota', 'serta', 'batas', 'kartu', 'keluarga', 'anak', 'itu', 'data', 'pangkudemikian', 'salah', 'masalah', 'data', 'duduk', 'tmbh', 'paket', 'data']",331,"['mitra', 'darat', 'menteri', 'hubung', 'terima', 'kasihlumayancukup', 'sulit', 'masuk', 'daftar', 'voucher', 'validtapi', 'klik', 'tombol', 'ulang', 'ulang', 'masuk', 'masalah', 'anggota', 'serta', 'batas', 'kartu', 'keluarga', 'anak', 'itu', 'data', 'pangkudemikian', 'salah', 'masalah', 'data', 'duduk', 'tmbh', 'paket', 'data']",-18,Negative,-1
"['terima', 'kasih', 'aplikasi', 'friendly', 'pengguna', 'mudah', 'pemula', 'terbantu', 'pulang', 'kampung', 'gratis', 'neko', 'petugas', 'ramah', 'sabar', 'validasi', 'sungguh', 'apresiasi', 'terima', 'kasih', 'pelayanan', 'terbaik']","['terima', 'kasih', 'aplikasi', 'friendly', 'guna', 'mudah', 'mula', 'bantu', 'pulang', 'kampung', 'gratis', 'neko', 'tugas', 'ramah', 'sabar', 'validasi', 'sungguh', 'apresiasi', 'terima', 'kasih', 'layan', 'baik']",215,"['terima', 'kasih', 'aplikasi', 'friendly', 'guna', 'mudah', 'mula', 'bantu', 'pulang', 'kampung', 'gratis', 'neko', 'tugas', 'ramah', 'sabar', 'validasi', 'sungguh', 'apresiasi', 'terima', 'kasih', 'layan', 'baik']",31,Positive,1
"['rute', 'trans', 'banjarbakula', 'aplikasi', 'membantu', 'memudahkan', 'pengguna', 'layanan', 'fasilitas', 'dilengkapi', 'halte', 'timbangan', 'mobil', 'barang']","['rute', 'trans', 'banjarbakula', 'aplikasi', 'bantu', 'mudah', 'guna', 'layan', 'fasilitas', 'lengkap', 'halte', 'timbang', 'mobil', 'barang']",143,"['rute', 'trans', 'banjarbakula', 'aplikasi', 'bantu', 'mudah', 'guna', 'layan', 'fasilitas', 'lengkap', 'halte', 'timbang', 'mobil', 'barang']",13,Positive,1
"['kota', 'pekanbaru', 'khusus', 'koridor', 'bros', 'panam', 'pelayanan', 'maksimal', 'berangkat', 'pagi', 'trip', 'mohon', 'terkait', 'memperbaiki', 'layanannya', 'terima', 'kasih']","['kota', 'pekanbaru', 'khusus', 'koridor', 'bros', 'panam', 'layan', 'maksimal', 'berangkat', 'pagi', 'trip', 'mohon', 'kait', 'baik', 'layan', 'terima', 'kasih']",162,"['kota', 'pekanbaru', 'khusus', 'koridor', 'bros', 'panam', 'layan', 'maksimal', 'berangkat', 'pagi', 'trip', 'mohon', 'kait', 'baik', 'layan', 'terima', 'kasih']",13,Positive,1
"['alangkah', 'baik', 'nya', 'keterangan', 'penjelasan', 'cirikode', 'tujuan', 'contoh', 'banjarmasin', 'banjarbaru', 'bustidak', 'transit', 'betambah', 'pulang', 'tetakunan', 'ulun', 'handak', 'basapida', 'kawalah', 'tatakunan', 'fastrespon']","['alangkah', 'baik', 'nya', 'terang', 'jelas', 'cirikode', 'tuju', 'contoh', 'banjarmasin', 'banjarbaru', 'bustidak', 'transit', 'betambah', 'pulang', 'tetakunan', 'ulun', 'handak', 'basapida', 'kawalah', 'tatakunan', 'fastrespon']",231,"['alangkah', 'baik', 'nya', 'terang', 'jelas', 'cirikode', 'tuju', 'contoh', 'banjarmasin', 'banjarbaru', 'bustidak', 'transit', 'betambah', 'pulang', 'tetakunan', 'ulun', 'handak', 'basapida', 'kawalah', 'tatakunan', 'fastrespon']",13,Positive,1
"['tolong', 'diperbaiki', 'sistem', 'pulang', 'kampung', 'gratisnya', 'sudah', 'pilih', 'kursi', 'mengisi', 'data', 'sudah', 'pemilik', 'diisi', 'orang', 'tambahkan', 'opsi', 'batalkan', 'tiket']","['tolong', 'baik', 'sistem', 'pulang', 'kampung', 'gratis', 'sudah', 'pilih', 'kursi', 'isi', 'data', 'sudah', 'milik', 'isi', 'orang', 'tambah', 'opsi', 'batal', 'tiket']",171,"['tolong', 'baik', 'sistem', 'pulang', 'kampung', 'gratis', 'sudah', 'pilih', 'kursi', 'isi', 'data', 'sudah', 'milik', 'isi', 'orang', 'tambah', 'opsi', 'batal', 'tiket']",10,Positive,1
"['aplikasi', 'bagus', 'tampilan', 'mudah', 'dimengerti', 'fitur', 'bagus', 'dikemas', 'design', 'antarmuka', 'rapih', 'pengingat', 'kedatangan', 'berguna', 'terkadang', 'live', 'trackingnya', 'terlambat', 'sisanya']","['aplikasi', 'bagus', 'tampil', 'mudah', 'erti', 'fitur', 'bagus', 'kemas', 'design', 'antarmuka', 'rapih', 'ingat', 'datang', 'guna', 'terkadang', 'live', 'trackingnya', 'lambat', 'sisa']",188,"['aplikasi', 'bagus', 'tampil', 'mudah', 'erti', 'fitur', 'bagus', 'kemas', 'design', 'antarmuka', 'rapih', 'ingat', 'datang', 'guna', 'terkadang', 'live', 'trackingnya', 'lambat', 'sisa']",12,Positive,1
"['bagus', 'aplikasi', 'nya', 'fleksibel', 'disabilitas', 'penglihatan', 'tolong', 'tambahkan', 'menu', 'terdekat', 'koridor', 'tombol', 'lihat', 'detail', 'muncul', 'terbaca', 'pembaca', 'layar']","['bagus', 'aplikasi', 'nya', 'fleksibel', 'disabilitas', 'lihat', 'tolong', 'tambah', 'menu', 'dekat', 'koridor', 'tombol', 'lihat', 'detail', 'muncul', 'baca', 'baca', 'layar']",177,"['bagus', 'aplikasi', 'nya', 'fleksibel', 'disabilitas', 'lihat', 'tolong', 'tambah', 'menu', 'dekat', 'koridor', 'tombol', 'lihat', 'detail', 'muncul', 'baca', 'baca', 'layar']",20,Positive,1
"['membantu', 'pengecekan', 'kelaikan', 'kendaraan', 'terima', 'kasih']","['bantu', 'kece', 'kelai', 'kendara', 'terima', 'kasih']",56,"['bantu', 'kece', 'kelai', 'kendara', 'terima', 'kasih']",12,Positive,1
