score,content
5,"Sudah bagus dan sangat membantu, namun apabila system tracking bus nya dapat memberikan notifikasi kepada pengguna yg menunggu di halte bahwa bus sudah dekat itu lebih bagus lagi dan akan sangat membantu Terimakasih"
5,"untuk mitra darat dalam hal ini kementerian perhubungan saya mengucapkan terima kasih,lumayan,cukup susah untuk masuk daftarnya meskipun sering voucher tidak valid.tapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi ada kendala mengenai jumlah anggota peserta yang di batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami ada tiga anak dan itupun tidak terdata, mau tidak mau mungkin harus di pangku.demikian salah satu kendala di data kependudukan spy d tmbh kuota"
5,"Sebelumnya saya ingin mengucapkan terima kasih. Dengan adanya aplikasi friendly user, gampang digunakan bahkan untuk pemula sekalipun. Saya merasa terbantu pada saat mudik gratis, tidak neko2 tidak KKN dengan para petugas yg ramah dan sabar saat validasi, sungguh ini sangat kami apresiasi. Terima kasih sdh berikan pelayanan yg terbaik buat kami."
5,saya rute bus trans banjarbakula aplikasi ini sangat membantu kami dan memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang
5,"Di kota Pekanbaru khusus koridor awal Bros - Panam (UIN )pelayanan tidak maksimal, apalagi jam berangkat di pagi tidak jelas jam berapa trip pertama ,jadi kami mohon kepada pihak terkait supaya memperbaiki layanannya, terimakasih 🙏"
5,"alangkah baiknya, ditambahkan keterangan dan penjelasan.. apakah ciri/kode bus dan tujuan awal dan akhirnya?. sebagai contoh; saya ingin ikut bus, dari Banjarmasin menuju Banjarbaru (cukup 1 bus,tidak transit) nah betambah pulang tetakunan ulun. mun handak basapida, kawalah masih ? anu, lewat mana tatakunan yang fastrespon lh ?"
5,"Tolong diperbaiki sistem mudik gratisnya, kalo udah pilih kursi dan ngisi data harusnya udah jadi hak milik.. jangan tiba"" udh diisi orang lain dan tambahkan opsi batalkan tiket"
5,"Aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke."
5,Sudah bagus aplikasinya agar lebih fleksibel dan dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu bus terdekat dan pada setiap koridor bus tombol lihat detail yang muncul di map itu dibuat agar bisa terbaca oleh pembaca layar
5,Sangat membantu utk pengecekan kelaikan kendaraan Terimakasih
5,Aplikasinya bisa memudahkan pengguna bus baik teman bus maupun non teman bus seperti trans jogja. Terimakasih ya. Saran saya : tambahkan Trans Jakarta di aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain (bisa lewat mitra darat)
5,"2 Tahun ini 2024 & 2025,ngga kebagian terus,,habis terus.Jangan2 ada calonya ya.Tiap jam tiap hari cek.selalu habis.Giliran ada info kuota,masuk susah."
5,bagus sekali aplikasi ini sgt memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis
5,"Joooooooooosssss,, Semoga ke depannya semakin bagus dan pastinya sangat bermanfaat u/ warga Jawa Timur khususnya Surabaya"
5,"Lumayan bagus, bisa tau arah bus dan jadwal busnya, semoga semakin berkembang aplikasinya."
5,"Sangat membantu buat kami dengan adanya mudik geratis tapi sayang sy belum dapat tiketnya padahal sudah coba berkali"""
5,"Semoga amplikasi mitradarat semakin maju dan berkembang bikin indonesia maju bisa ter wujud...teruskan mudik gratis tiap tahun leh banyank dan banyak.,biar rakyat kecil senang."
5,"Sangat membantuu, aplikasi juga akurat dengan fitur-fitur yang berguna, terutama untuk ""Teman Bus"" mahasiswa hanya dapat tarif 2000, sayangnya di Makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan. Keadaan didalam bus sangat nyaman, bersih, dan ber-AC. Driver bus juga sangat informatif dan membantuu. Semoga kedepannya jalurnya bisa lebih banyak lagii."
