normalized,stemmed text,token_count,stemmed_list,polarity_score,polarity,polarity_num
"['sudah', 'bagus', 'metode', 'pembayarannya', 'sudah', 'metode', 'pembayaran', 'sulit', 'proses', 'mengaitkannya', 'memasukkan', 'kata', 'sandi', 'sesuai', 'dianggap', 'salah', 'mohon', 'diperbaiki', 'terima', 'kasih']","['sudah', 'bagus', 'metode', 'bayar', 'sudah', 'metode', 'bayar', 'sulit', 'proses', 'kait', 'masuk', 'kata', 'sandi', 'sesuai', 'anggap', 'salah', 'mohon', 'baik', 'terima', 'kasih']",183,"['sudah', 'bagus', 'metode', 'bayar', 'sudah', 'metode', 'bayar', 'sulit', 'proses', 'kait', 'masuk', 'kata', 'sandi', 'sesuai', 'anggap', 'salah', 'mohon', 'baik', 'terima', 'kasih']",6,Positive,1
"['aplikasi', 'berfungsi', 'ngnbvb']","['aplikasi', 'fungsi', 'ngnbvb']",32,"['aplikasi', 'fungsi', 'ngnbvb']",-4,Negative,-1
"['keren', 'sekali', 'sekarang', 'mudah', 'aplikasi', 'nya', 'membutuhkan', 'perbaikan', 'verifikasi', 'tetap', 'tidak', 'bisa', 'aplikasi', 'nya', 'verifikasi']","['keren', 'sekali', 'sekarang', 'mudah', 'aplikasi', 'nya', 'butuh', 'baik', 'verifikasi', 'tetap', 'tidak', 'bisa', 'aplikasi', 'nya', 'verifikasi']",149,"['keren', 'sekali', 'sekarang', 'mudah', 'aplikasi', 'nya', 'butuh', 'baik', 'verifikasi', 'tetap', 'tidak', 'bisa', 'aplikasi', 'nya', 'verifikasi']",-9,Negative,-1
"['fasilitas', 'transportasi', 'bagus']","['fasilitas', 'transportasi', 'bagus']",38,"['fasilitas', 'transportasi', 'bagus']",4,Positive,1
"['coba', 'pakai', 'aplikasi', 'beli', 'tiket', 'bawa', 'flash', 'membantu', 'lancar', 'keren']","['coba', 'pakai', 'aplikasi', 'beli', 'tiket', 'bawa', 'flash', 'bantu', 'lancar', 'keren']",91,"['coba', 'pakai', 'aplikasi', 'beli', 'tiket', 'bawa', 'flash', 'bantu', 'lancar', 'keren']",8,Positive,1
"['semoga', 'berkembang', 'diperbanyak', 'promodiskon', 'perjalanan', 'gratis', 'perjalanan']","['moga', 'kembang', 'banyak', 'promodiskon', 'jalan', 'gratis', 'jalan']",72,"['moga', 'kembang', 'banyak', 'promodiskon', 'jalan', 'gratis', 'jalan']",11,Positive,1
"['coba', 'unduh', 'keren', 'belajar', 'aplikasi', 'bayar', 'aplikasi', 'orang', 'daerah', 'coba', 'ibukota', 'modal', 'ponsel', 'pintar', 'terima', 'kasih', 'besok', 'coba', 'test']","['coba', 'unduh', 'keren', 'ajar', 'aplikasi', 'bayar', 'aplikasi', 'orang', 'daerah', 'coba', 'ibukota', 'modal', 'ponsel', 'pintar', 'terima', 'kasih', 'besok', 'coba', 'test']",178,"['coba', 'unduh', 'keren', 'ajar', 'aplikasi', 'bayar', 'aplikasi', 'orang', 'daerah', 'coba', 'ibukota', 'modal', 'ponsel', 'pintar', 'terima', 'kasih', 'besok', 'coba', 'test']",6,Positive,1
"['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'singapore', 'usul', 'ke', 'depan', 'diperbanyak', 'bayar', 'tiketnya', 'gunakan', 'fasilitas', 'link', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'selalu']","['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'singapore', 'usul', 'ke', 'depan', 'banyak', 'bayar', 'tiket', 'guna', 'fasilitas', 'link', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'selalu']",199,"['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'singapore', 'usul', 'ke', 'depan', 'banyak', 'bayar', 'tiket', 'guna', 'fasilitas', 'link', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'selalu']",16,Positive,1
"['bermanfaat', 'rombongan', 'satpamnya', 'ramah', 'proses', 'memindai', 'cepat']","['manfaat', 'rombong', 'satpam', 'ramah', 'proses', 'pindai', 'cepat']",70,"['manfaat', 'rombong', 'satpam', 'ramah', 'proses', 'pindai', 'cepat']",14,Positive,1
"['aplikasi', 'bagus', 'sekali', 'sukses', 'pembuatnya', 'beroperasi', 'lancar']","['aplikasi', 'bagus', 'sekali', 'sukses', 'buat', 'operasi', 'lancar']",70,"['aplikasi', 'bagus', 'sekali', 'sukses', 'buat', 'operasi', 'lancar']",6,Positive,1
"['belom', 'mencoba', 'aplikasinya', 'memeberikan', 'bintang', 'pekerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']","['bom', 'coba', 'aplikasi', 'memeberikan', 'bintang', 'kerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']",110,"['bom', 'coba', 'aplikasi', 'memeberikan', 'bintang', 'kerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']",2,Positive,1
"['pengalaman', 'pakai', 'aplikasi', 'mrtj', 'memuaskan', 'terbantu', 'pembelian', 'tiket', 'mudah', 'kode', 'bermasalah', 'stasiun', 'petugas', 'lapangannya', 'ramah', 'membantu', 'keluarga', 'terkadang', 'jakarta']","['alam', 'pakai', 'aplikasi', 'mrtj', 'muas', 'bantu', 'beli', 'tiket', 'mudah', 'kode', 'masalah', 'stasiun', 'tugas', 'lapang', 'ramah', 'bantu', 'keluarga', 'terkadang', 'jakarta']",183,"['alam', 'pakai', 'aplikasi', 'mrtj', 'muas', 'bantu', 'beli', 'tiket', 'mudah', 'kode', 'masalah', 'stasiun', 'tugas', 'lapang', 'ramah', 'bantu', 'keluarga', 'terkadang', 'jakarta']",22,Positive,1
['membantu'],['bantu'],9,['bantu'],3,Positive,1
"['alhamdulillah', 'merasakan', 'mrtjakarta', 'serba', 'tertib', 'teratur', 'cepat', 'bebas', 'kemacetan']","['alhamdulillah', 'rasa', 'mrtjakarta', 'serba', 'tertib', 'atur', 'cepat', 'bebas', 'macet']",93,"['alhamdulillah', 'rasa', 'mrtjakarta', 'serba', 'tertib', 'atur', 'cepat', 'bebas', 'macet']",10,Positive,1
"['pembaruan', 'alarm', 'kedatangan', 'alarm', 'keberangkatan', 'alarm', 'stasiun', 'tujuan']","['baru', 'alarm', 'datang', 'alarm', 'berangkat', 'alarm', 'stasiun', 'tuju']",77,"['baru', 'alarm', 'datang', 'alarm', 'berangkat', 'alarm', 'stasiun', 'tuju']",-5,Negative,-1
"['semoga', 'bermanfaat', 'upgradenya', 'semoga', 'berkembang']","['moga', 'manfaat', 'upgradenya', 'moga', 'kembang']",52,"['moga', 'manfaat', 'upgradenya', 'moga', 'kembang']",10,Positive,1
"['daftar', 'mudah', 'cepat', 'dicoba', 'aplikasi', 'nya']","['daftar', 'mudah', 'cepat', 'coba', 'aplikasi', 'nya']",55,"['daftar', 'mudah', 'cepat', 'coba', 'aplikasi', 'nya']",6,Positive,1
"['keren', 'sekali', 'mudah', 'pesannya', 'kemarin', 'beli', 'grup', 'orang', 'bareng', 'temen', 'kartu']","['keren', 'sekali', 'mudah', 'pesan', 'kemarin', 'beli', 'grup', 'orang', 'bareng', 'temen', 'kartu']",101,"['keren', 'sekali', 'mudah', 'pesan', 'kemarin', 'beli', 'grup', 'orang', 'bareng', 'temen', 'kartu']",6,Positive,1
"['menyenangkan', 'keluarga', 'tujuan', 'cepat', 'biaya', 'terjangkau']","['senang', 'keluarga', 'tuju', 'cepat', 'biaya', 'jangkau']",59,"['senang', 'keluarga', 'tuju', 'cepat', 'biaya', 'jangkau']",15,Positive,1
"['bagus', 'menolong', 'beli', 'kartu', 'bawa', 'anak', 'memindai', 'selesai']","['bagus', 'tolong', 'beli', 'kartu', 'bawa', 'anak', 'pindai', 'selesai']",73,"['bagus', 'tolong', 'beli', 'kartu', 'bawa', 'anak', 'pindai', 'selesai']",7,Positive,1
"['senang', 'transportasi', 'mempermudah', 'transportasi', 'sederhana', 'cepat']","['senang', 'transportasi', 'mudah', 'transportasi', 'sederhana', 'cepat']",73,"['senang', 'transportasi', 'mudah', 'transportasi', 'sederhana', 'cepat']",15,Positive,1
"['membantu', 'perjalanan', 'aman', 'lancar', 'nyaman', 'semoga', 'jaya']","['bantu', 'jalan', 'aman', 'lancar', 'nyaman', 'moga', 'jaya']",62,"['bantu', 'jalan', 'aman', 'lancar', 'nyaman', 'moga', 'jaya']",16,Positive,1
"['transportasi', 'massal', 'cepat', 'nyaman', 'terintegrasi', 'modal', 'transportasi']","['transportasi', 'massal', 'cepat', 'nyaman', 'integrasi', 'modal', 'transportasi']",83,"['transportasi', 'massal', 'cepat', 'nyaman', 'integrasi', 'modal', 'transportasi']",12,Positive,1
