score,content
5,"App nya udah bagus, dan metode pembayarannya juga udah lebih banyak dari sebelumnya. Cuma untuk metode pembayaran blu by BCA, masih susah untuk proses bindingnya terutama ketika memasukkan password. Padahal sudah sesuai dan benar namun tetap dianggap salah. Mohon diperbaiki dan terima kasih"
5,Aplikasi sudah berfungsi dgn ngnbvb
5,"Keren banget skrng bisa naik Mrt jadi lebih mudah, tapi aplikasinya masih butuh sedikit perbaikan, saya gak bisa verifikasi KTP padahal udh di tap tapi tetep gabisa, tapi gpp yang penting aplikasinya bisa di gunakan untuk Mrt walaupun belum verifikasi ktp"
5,Fasilitas Transportasi yang Mantap
5,"Pernah coba2 pake aplikasi ini buat beli tiket, padahal bawa flash waktu itu. Eh ternyata ngebantu juga, lancar, keren 👍"
5,"semoga bisa lebih berkembang lagi, khususnya perbanyak promo/diskon, spt 10x perjalanan gratis 1x perjalanan. tks"
5,belum coba sih tapi unduh dulu. keren aja belajar naik MRT lewat aplikasi bayar juga lewat aplikasi. kita orang daerah coba coba ke Ibukota dengan modal smartphone naik MRT. makasih app MRT J. besok kita coba test
5,"MRT..lux, rapi, bersih,..mantul banget...seperti MRT Singapore. Usul kedepan diperbanyak untuk yg bayar tiketnya pakai fasilitas tidak hanya Link aja, tapi juga OVO, DANA, GOpay..itu aja..dari saya..sukses slalu MRT"
5,Sangat bermanfaat apk ini untuk rombongan Apalagi satpamnya ramah semua. Dan proses scan juga cepat
5,"Aplikasi bagus banget dan sukses bagi pembuatnya, karena bisa beroperasi dengan lancar tanpa ada masalah. 👍👍"
5,sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :)
5,Pengalaman pertama pake aplikasi MRT-J sangat memuaskan dan terbantu sekali. Pembelian tiket pun sangat mudah dan QR code tidak bermasalah saat tap in dan tap out stasiun MRT. Petugas di lapangannya pun sangat ramah dan membantu sekali untuk saya dan keluarga yang baru pertama kali naik MRT Jakarta.
5,Sangat membantu
5,"Alhamdulillah, sudah merasakan naik MRT-Jakarta, semuanya serba tertib teratur, dan yang paling penting cepat & bebas dari kemacetan."
5,"Update lagi dengan alarm kedatangan, alarm keberangkatan dan alarm ketika mau sampai stasiun tujuan"
5,"semoga bermanfaat dengan baik, upgradenya semoga terus berkembang tanpa bug"
5,"sudah daftar, mudah dan cepat, tetapi blm dicoba aplikasinya"
5,"KEREN banget gampang juga pesennya, kemarin beli yang grup buat 4 orang jdi bisa naik mrt bareng temen2 tanpa harus punya kartu"
5,"Menyenangkan bersama keluarga, bisa sampai tujuan dengan cepat dan biaya murah."
5,"mantap... sangat menolong, ga perlu lagi harus beli 5 kartu buat bawa 4 anak , cukup scan beres"
5,"senang ada transportasi ini, sangat mempermudah transportasi, simple, cepat, tepat."
5,"Sangat membantu perjalanan dengan aman, lancar, dan nyaman. semoga tetap jaya MRT."
5,"Transportasi massal yang cepat, tepat waktu dan nyaman dan terintegrasi dengan modal transportasi lainnya"
5,"MRT Jakarta adalah moda sarana transportasi Publik. Perlu di iklankan di media masa, agar Masyarakat semakin familiar dan ditingkatkan sarana pelayanannya. Dengan ada nya moda transportasi 🚇🚍🚋 Publik yang nyaman dan tepat waktu, maka masyarakat akan beralih dari moda transport pribadi ke sarana moda transportasi Publik. kerja sama Tim yang solid adalah kunci jawaban nya untuk membentuk suatu layanan moda transportasi yang Tangguh dan berkelas. Hormat saya, Andri H Terima Kasih."
5,"Kode refeal : 716605 update, tambahkan alarm kedatangan dan ketika sampai tujuan"
5,Aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri
5,"perjalanan jadi lebih cepat dan tepat waktu, terimakasih"
5,"semoga lancar , masih bakal berubah rating kalau ketemu bug"
5,"MRR keren, aman dan nyaman, tp mahal adain promo sesekali"
5,"Sebelumnya saya capek naik turun platform di KRL Jabodetabek dan khalayak yg naik bermacam-macam. Sekarang dg MRT Jakarta sy merasa lebih aman untuk masuk gerbong dg platform yang datar dan penumpang yg sudah lebih memperhatikan kesehatan / prokes dan selevel orang kantoran. Memang di beberapa tujuan, sy harus membayar lebih mahal dg mobil on-line, tetapi perasaan ""secure"" dan ""nyaman"" membuat sy sbg lansia (usia 70 tahun) tidak merasa capek bepergian dg MRT. Terima kasih MRT Jakarta"
5,"Semoga lebih banyak lagi rute MRT di Jakarta agar begitu keluar Rumah, Kantor, pasar, pusat perbelanjaan, bengkel, tinggal jalan kaki sebentar langsung naik MRT. Begitu pun sebaliknya ketika datang langsung tiba di tujuan tanpa naik moda transportasi lain yang harus menunggu lama."
5,keren canggih lucu aman tertib bersih nyaman ramah disabilitas cepat sekali tepat waktu indonesia maju wifi 5g 4g fasilitas umum hrs lengkap kereeeeeeeeeeen sekaliiiiiiiiiiiiiiii
5,"terimakasih MRT Jakarta, pelayanan terbaik yang luar biasa. singkatnya HP saya mati di st.Istora Mandiri, dan selalu gagal untuk top up saldo emoney..jadinya mba Cindy (petugas St.Istora Mandiri) menawarkan untuk di charge HPnya selama 10 menit, sudah gitu jaringan di HPku hilang, eh mbanya nawarin untuk Hotspot (karna kalo Wifi st. harus login dulu, lamaaa). alhamdulillah akhirnya jadi bisa pulang karna pelayanannya luar biasa. Angkat mba Cindy jadi organik min, orang baik, pelayananny maksimal"
5,"bersih, nyaman, keamanan bagus, semoga aja MRT bisa nambah rute ke banyak kota, seperti ke bogor."
5,Bagus dan nyaman ❤️
5,"Aplikasi sangat bagus, memudahkan saya melakukan perjalanan ke Jakarta.. 😃😄"
5,"menyenangkan, nyaman, bersih, penjaga jya ramah dan sangat membantu"
5,"Bagus ,enak adem nyaman dan sangat mudah untuk cara pemesan tiket ny . naik pas ulang tahun jakarta 22 juni 2024 ."
5,"baguss banget, aplikasinya berisi informasi yang jelas dan dapat dimengerti"
5,"Kereta oke aplikasi interfacenya ok, pertahankan."
5,"tidak perlu kartu pembayaran elektronik lagi, simple dan mudah digunakan"
5,bagus aplikasinya tingkatkan terus pelayanan kereta mrtnya
5,blom coba smoga aja aplikasinya bisa mempermudah perjalanan 😊👍
5,"Seneng bgt naik MRT selain bersih, ontime jugaaa terintegrasi dengan moda TJ, KRL dan JakLingko 👏👏👏"
5,"trkadang lemot, trkadang bgs. udh 4x uninstall bru yg ke 5 donlot agar bs masuk akun"
5,Transportasi terbaru di DKI jakarta. Rute nya hanya dari Lebak bulus Tujuan Bundaran HI / arah sebaliknya Bundaran HI tujuan Lebak Bulus @indorihan 2019
5,Mudah2an untuk daerah bekasi cepat rampung. Karena macet terus di tol 😂😂😂😂
5,"aplikasi mudah & simple, trims pak Anies 66"
5,"mudah""an berguna aplikasi mrt nya buat naik mrt. terimakasih sukses selalu PT. MRT."
5,"Bagus dan mudah beli tiket, bisa nonton film gratis juga di perjalanan"
5,"Aplikasi saat ini tidak ada masalah, apabila ada masalah rating akan berubah"
5,"Dear MRT-J App Team,Tolong tambahkan fitur history pada fitur cek saldo MRT multi trip.Terima kasih.Semangat terus Team!"
5,aplikasi membantu sekali memudahkan pembayaran atau transaksi
5,mantap.. pasti lolos tiket scan masuk bisa.
5,Transportasi umum modern cepat mudah dan murah
5,"Menunjang transportasi yg handal, solusi mencegah bertambahnya kemacetan."
5,Aplikasi MRT sangat memudahkan untuk membeli ticket perjalanan Dan informasi status perjalanan juga tersedia
5,"Hmmm baru download, udah keburu beli tiket yg Multitrip nya😅🤣"
5,"bagus banget aplikasinya, mempermudah pemesanan untuk naik MRT dan KRL di Jakarta"
5,Untuk riwayat tiket up date terbaru mohon tanggal dan jam keberangkatan dan kedatangan jangan dihilangkan dong
5,semoga aplikasi ini bisa mempermudah gerak kegiatan warga Jakart
5,sangat membantu dlm perjalanan yg nyaman dan bersih
5,"bener2 menghemat waktu tenaga, sebelum ada mrt harus berjibaku kejar2 busway dan kereta. makasi MRT 👏🏻👏🏻"
5,sangat nyaman pelayanan nya memuasan
5,"Aplikasi memudahkan banget buat jalan2, gak nyesel donloadnya 😆"
5,mantap dan sangat terbantu dalam otw ( tujuan )
5,transportasi publik yang nyaman dan cepat
5,bagus dan mudah pembayaran nya
5,"pertahankan, kebersihan dan tingkatkan fasilitas di setiap station pemberhentian. Aamiin..."
5,easy dan praktis
5,keren banget sangat membantu...banyak hadiah give awaynya lagi
5,"baru download, belum coba fitur2 nya"
5,"excellent , semoga tetap dipertahankan pelayanannya"
5,"keren,ga nyangka kalo di Indonesia bisa keren"
5,perjalanan jadi lebih cepat dan nyaman
5,bagus layanan y dan ber cepat sampai tujuan
5,"Mantap, semoga bisa lebih ditingkatkan lagi"
5,"sangat praktis,bagus,cepat"
5,"Bagus, tapi bagaimana cara memesan tiket lebih dari satu, masih belum faham"
5,Ngebantu banget buat beli Tiket kalau gak bawa Kartu.
5,untuk kenyamanan dan ketepatan waktu ok.
5,bersih dan nyaman kereta nya
5,"semua nyaa jd serba instan, sukaaa bangett 🥰🥰🥰"
5,Sangat membantu dalam proses transaksi perjalanan.
5,bagus sekali perjalanan lebih cepat
5,Kode otp ga muncul². Udah di ulang² ttp ga bisa.
5,sangat membantu & mempermudah perjalanan kita 👍
5,Tempatnya bersih dan nyaman. Mantul pokoknya
5,sangat mudah dijangkau dan tepat waktu
5,Mempermudah pembelian tiket dan pembayarab tanpa antri
5,Lebih mudah dan praktis
5,Sangat mempermudah untuk menaiki mrt 👏👏
5,sangat nyaman untuk menjadi transportasi publik
5,semoga aplikasi ini lancar dan mudah
5,transportasi keren di jakarta. rekomended banget
5,support IT yang sangat bermanfaat
5,sudah terasa nyaman menggunakan transportasi umum
5,keren lah bisa bawa anak jln2
5,Sangat mudah dan sangat membantu
5,"waoooooo, dan terus tingkatkan lagi....dan lagi"
5,mrt memang bagus. untuk trsnsportasi masal.
5,Tanpa beli kartu bisa menggunakan app ini
5,"Mantap sangat membantu gk pakai mahal"" belu kartunya"
5,sangat bermanfaat tanpa card luar biasa😊❤❤❤
5,mantap aplikasi nya mendukung saat naik MRT
5,Maju terus MRT terus berinovasi untuk mempermudah pengguna...
5,Aplikasi saya gunakan bagus dan sangat membantu terimakasih
5,sangat membantu untuk meningkatkan aktivitas saya
5,Memudahkan banget buat yg lupa gk bawa kartu emoney. Tinggal tap doang beres. Membantu sekaliii
5,"Transportasi Jakarta yg sangat membantu, dengan adanya MRT Jakarta lebih mudah untuk pengguna transportasi umum."
5,Kenapa ya di aplikasi MRT ini tidak bisa melihat history perjalan selama 1 bulan?
5,"memudahkan untuk yang pertama kali naek mrt , bayarnya bisa pake link aja atau yang lainnya bisa"
5,Apa beda LRT dengan MRT Dan bagaimana cara klo kita mau naik salah satu kereta ini.
5,nyaman dan bersih waktu tempuhnya bagus
5,Sangat membantu pengguna dalam pembayaran untuk naik MRT
5,nyaman dan cepat
5,Sangat Menganggumkan
5,nyamannya bertransfortasi
5,"keren nieh pakai aplikasi ini, sangat membantu"
5,sangat membantu berpergian menggunakan aplikasi ini
5,"bagus, memudahkan pengguna untuk naik mrt"
5,sangat berguna / membantu aktifitas se hari2 🙏🙏🙏
5,sangat bagus aplikasi ini juga tau mrt
5,semoga engga lemot & eror aplikasinya
5,sangat bermanfaat bagi pertama kali menggunakan maupun berhari-hari
5,Scan QR masuk/keluar sudah lebih cepat
5,nyaman dan cepat
5,pelayanan nya professional👍
5,Moda transportasi yg aman..Apl'y g ribet
5,"Mudah digunakan, bayar menggunakan gopay lancar"
5,sangat membantu dalam perjalanan
5,Mrt ny tlg bsa d instal lg Yaa tlg d instal lg biar ga nyebelin
5,nyaman tp blm pernah coba mrt
5,bagus dan tingkatkan lagi
5,simple dan gak ribet
5,akhirnya Indonesia memiliki transportasi massal yang berkelas
5,mantap sangat berguna aplikasi ini
5,masih setia pakai MRT dong.. dari rumah ke stasiun Fatmawati tinggal jalan kaki.
5,Sangat mudah dan cepat
5,bagus & sangat menikmati sekali dengan moda transportasi raya terpadu MRT Jakarta
5,bagus kalo lupa bawa kartu e-money nya
5,LRT is the best. lancar n sukses utk lrt
5,Buat urusan warga lebih mudah dan mengayomi
5,Aplikasi ini sangat bagus dan berguna sekali
5,jika bagus/tidak ada kendala
5,bagusss kualitas aplikasinya
5,Terimakasih Telah melayani dengan Baik dan Tulus MRT
5,"Perbaiki, pertahankan, tambah opsional"
5,aku senang ada Apk MRT jakartatingkat kn and kembangkn
5,sangat membantu dan memudahkan
5,pertahankan prestasi mu dan tingkatkan pelayanan anda
5,keren dan sangat membantu maju terus mrt jakarta
5,"mantap Tranportasi kelas dunia ,serasa seperti di Eropa"
5,sangat menggudukasi
5,semoga bisa di gunakan aplikasi y.
5,belum coba naik tapi katanya keren
5,sangat membantu dan memudahkan
5,sangat bagus untuk publik
5,cepat aplikasinya
5,"oke ini, untuk moda transportasinya modern,👍"
5,Transportasi Publik Modern
5,aAplikasinya bagus banget!
5,Pelayanan semakin baik
5,cara jitu menghindari kemacetan
5,cepat nyaman aman
5,bagus sih untuk melihat rute MRT
5,mantap keren aplikasinya
5,praktis dan ekonomis
5,"bermanfaat, update banget"
5,bagus dan lancar
5,aplikasi baik dan yg lebih baik lagi
5,baguss dan mempermudah
5,bagus dan mempermudah
5,Bagus Untuk yang suka naik mrt jakarta
5,belum pernah naik mrt .mau cobq pake aplikasi
5,Aplikasinya mudah digunakan 🥰
5,baru naik sekali..kereta nya bersih
5,Baru pertama kali aku mendaftar di Aplikasi MRT Jakarta
5,akses nya mudah
