score,content,case folding,remove punctuation,stopword,normalized,stemming teks,token count
5,"App nya udah bagus, dan metode pembayarannya juga udah lebih banyak dari sebelumnya. Cuma untuk metode pembayaran blu by BCA, masih susah untuk proses bindingnya terutama ketika memasukkan password. Padahal sudah sesuai dan benar namun tetap dianggap salah. Mohon diperbaiki dan terima kasih","app nya udah bagus, dan metode pembayarannya juga udah lebih banyak dari sebelumnya. cuma untuk metode pembayaran blu by bca, masih susah untuk proses bindingnya terutama ketika memasukkan password. padahal sudah sesuai dan benar namun tetap dianggap salah. mohon diperbaiki dan terima kasih",  udah bagus  metode pembayarannya juga udah lebih banyak dari sebelumnya cuma untuk metode pembayaran    masih susah untuk proses bindingnya terutama ketika memasukkan password padahal sudah sesuai  benar namun tetap dianggap salah mohon diperbaiki  terima kasih,"['udah', 'bagus', 'metode', 'pembayarannya', 'udah', 'metode', 'pembayaran', 'susah', 'proses', 'bindingnya', 'memasukkan', 'password', 'sesuai', 'dianggap', 'salah', 'mohon', 'diperbaiki', 'terima', 'kasih']","['sudah', 'bagus', 'metode', 'pembayarannya', 'sudah', 'metode', 'pembayaran', 'sulit', 'proses', 'mengaitkannya', 'memasukkan', 'kata', 'sandi', 'sesuai', 'dianggap', 'salah', 'mohon', 'diperbaiki', 'terima', 'kasih']","['sudah', 'bagus', 'metode', 'bayar', 'sudah', 'metode', 'bayar', 'sulit', 'proses', 'kait', 'masuk', 'kata', 'sandi', 'sesuai', 'anggap', 'salah', 'mohon', 'baik', 'terima', 'kasih']",20
5,Aplikasi sudah berfungsi dgn ngnbvb,aplikasi sudah berfungsi dgn ngnbvb,aplikasi sudah berfungsi  ngnbvb,"['aplikasi', 'berfungsi', 'ngnbvb']","['aplikasi', 'berfungsi', 'ngnbvb']","['aplikasi', 'fungsi', 'ngnbvb']",3
5,"Keren banget skrng bisa naik Mrt jadi lebih mudah, tapi aplikasinya masih butuh sedikit perbaikan, saya gak bisa verifikasi KTP padahal udh di tap tapi tetep gabisa, tapi gpp yang penting aplikasinya bisa di gunakan untuk Mrt walaupun belum verifikasi ktp","keren banget skrng bisa naik mrt jadi lebih mudah, tapi aplikasinya masih butuh sedikit perbaikan, saya gak bisa verifikasi ktp padahal udh di tap tapi tetep gabisa, tapi gpp yang penting aplikasinya bisa di gunakan untuk mrt walaupun belum verifikasi ktp",keren banget skrng bisa naik  jadi lebih mudah tapi aplikasinya masih butuh sedikit perbaikan saya  bisa verifikasi  padahal    tapi tetep gabisa tapi  yang penting aplikasinya bisa  gunakan untuk  walaupun belum verifikasi ,"['keren', 'banget', 'skrng', 'mudah', 'aplikasinya', 'butuh', 'perbaikan', 'verifikasi', 'tetep', 'gabisa', 'aplikasinya', 'verifikasi']","['keren', 'sekali', 'sekarang', 'mudah', 'aplikasi', 'nya', 'membutuhkan', 'perbaikan', 'verifikasi', 'tetap', 'tidak', 'bisa', 'aplikasi', 'nya', 'verifikasi']","['keren', 'sekali', 'sekarang', 'mudah', 'aplikasi', 'nya', 'butuh', 'baik', 'verifikasi', 'tetap', 'tidak', 'bisa', 'aplikasi', 'nya', 'verifikasi']",15
5,Fasilitas Transportasi yang Mantap,fasilitas transportasi yang mantap,fasilitas transportasi yang mantap,"['fasilitas', 'transportasi', 'mantap']","['fasilitas', 'transportasi', 'bagus']","['fasilitas', 'transportasi', 'bagus']",3
5,"Pernah coba2 pake aplikasi ini buat beli tiket, padahal bawa flash waktu itu. Eh ternyata ngebantu juga, lancar, keren 👍","pernah coba2 pake aplikasi ini buat beli tiket, padahal bawa flash waktu itu. eh ternyata ngebantu juga, lancar, keren 👍",pernah coba pake aplikasi  buat beli tiket padahal bawa flash waktu   ternyata ngebantu juga lancar keren,"['coba', 'pake', 'aplikasi', 'beli', 'tiket', 'bawa', 'flash', 'ngebantu', 'lancar', 'keren']","['coba', 'pakai', 'aplikasi', 'beli', 'tiket', 'bawa', 'flash', 'membantu', 'lancar', 'keren']","['coba', 'pakai', 'aplikasi', 'beli', 'tiket', 'bawa', 'flash', 'bantu', 'lancar', 'keren']",10
5,"semoga bisa lebih berkembang lagi, khususnya perbanyak promo/diskon, spt 10x perjalanan gratis 1x perjalanan. tks","semoga bisa lebih berkembang lagi, khususnya perbanyak promo/diskon, spt 10x perjalanan gratis 1x perjalanan. tks",semoga bisa lebih berkembang lagi khususnya perbanyak promodiskon   perjalanan gratis  perjalanan ,"['semoga', 'berkembang', 'perbanyak', 'promodiskon', 'perjalanan', 'gratis', 'perjalanan']","['semoga', 'berkembang', 'diperbanyak', 'promodiskon', 'perjalanan', 'gratis', 'perjalanan']","['moga', 'kembang', 'banyak', 'promodiskon', 'jalan', 'gratis', 'jalan']",7
5,belum coba sih tapi unduh dulu. keren aja belajar naik MRT lewat aplikasi bayar juga lewat aplikasi. kita orang daerah coba coba ke Ibukota dengan modal smartphone naik MRT. makasih app MRT J. besok kita coba test,belum coba sih tapi unduh dulu. keren aja belajar naik mrt lewat aplikasi bayar juga lewat aplikasi. kita orang daerah coba coba ke ibukota dengan modal smartphone naik mrt. makasih app mrt j. besok kita coba test,belum coba  tapi unduh dulu keren  belajar naik  lewat aplikasi bayar juga lewat aplikasi kita orang daerah coba coba  ibukota dengan modal smartphone naik  makasih    besok kita coba test,"['coba', 'unduh', 'keren', 'belajar', 'aplikasi', 'bayar', 'aplikasi', 'orang', 'daerah', 'coba', 'coba', 'ibukota', 'modal', 'smartphone', 'makasih', 'besok', 'coba', 'test']","['coba', 'unduh', 'keren', 'belajar', 'aplikasi', 'bayar', 'aplikasi', 'orang', 'daerah', 'coba', 'ibukota', 'modal', 'ponsel', 'pintar', 'terima', 'kasih', 'besok', 'coba', 'test']","['coba', 'unduh', 'keren', 'ajar', 'aplikasi', 'bayar', 'aplikasi', 'orang', 'daerah', 'coba', 'ibukota', 'modal', 'ponsel', 'pintar', 'terima', 'kasih', 'besok', 'coba', 'test']",19
5,"MRT..lux, rapi, bersih,..mantul banget...seperti MRT Singapore. Usul kedepan diperbanyak untuk yg bayar tiketnya pakai fasilitas tidak hanya Link aja, tapi juga OVO, DANA, GOpay..itu aja..dari saya..sukses slalu MRT","mrt..lux, rapi, bersih,..mantul banget...seperti mrt singapore. usul kedepan diperbanyak untuk yg bayar tiketnya pakai fasilitas tidak hanya link aja, tapi juga ovo, dana, gopay..itu aja..dari saya..sukses slalu mrt",mrtlux rapi bersihmantul bangetseperti  singapore usul kedepan diperbanyak untuk  bayar tiketnya pakai fasilitas tidak hanya link  tapi juga  dana gopayitu ajadari sayasukses slalu ,"['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'singapore', 'usul', 'kedepan', 'diperbanyak', 'bayar', 'tiketnya', 'pakai', 'fasilitas', 'link', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'slalu']","['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'singapore', 'usul', 'ke', 'depan', 'diperbanyak', 'bayar', 'tiketnya', 'gunakan', 'fasilitas', 'link', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'selalu']","['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'singapore', 'usul', 'ke', 'depan', 'banyak', 'bayar', 'tiket', 'guna', 'fasilitas', 'link', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'selalu']",19
5,Sangat bermanfaat apk ini untuk rombongan Apalagi satpamnya ramah semua. Dan proses scan juga cepat,sangat bermanfaat apk ini untuk rombongan apalagi satpamnya ramah semua. dan proses scan juga cepat,sangat bermanfaat   untuk rombongan apalagi satpamnya ramah semua  proses scan juga cepat,"['bermanfaat', 'rombongan', 'satpamnya', 'ramah', 'proses', 'scan', 'cepat']","['bermanfaat', 'rombongan', 'satpamnya', 'ramah', 'proses', 'memindai', 'cepat']","['manfaat', 'rombong', 'satpam', 'ramah', 'proses', 'pindai', 'cepat']",7
5,"Aplikasi bagus banget dan sukses bagi pembuatnya, karena bisa beroperasi dengan lancar tanpa ada masalah. 👍👍","aplikasi bagus banget dan sukses bagi pembuatnya, karena bisa beroperasi dengan lancar tanpa ada masalah. 👍👍",aplikasi bagus banget  sukses bagi pembuatnya karena bisa beroperasi dengan lancar tanpa  masalah,"['aplikasi', 'bagus', 'banget', 'sukses', 'pembuatnya', 'beroperasi', 'lancar']","['aplikasi', 'bagus', 'sekali', 'sukses', 'pembuatnya', 'beroperasi', 'lancar']","['aplikasi', 'bagus', 'sekali', 'sukses', 'buat', 'operasi', 'lancar']",7
5,sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :),sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :), belom mencoba apknya namun  memeberikan bintang lima karena suatu pekerja  sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk ,"['belom', 'mencoba', 'apknya', 'memeberikan', 'bintang', 'pekerja', 'karna', 'kartu', 'mrtnya', 'terimakasih']","['belom', 'mencoba', 'aplikasinya', 'memeberikan', 'bintang', 'pekerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']","['bom', 'coba', 'aplikasi', 'memeberikan', 'bintang', 'kerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']",11
