normalized,stemmed text,token_count,stemmed_list,polarity_score,polarity,polarity_num
"['setuju', 'pemberlakuan', 'wajib', 'tiket', 'sesuai', 'lansia', 'memiliki', 'android', 'memudahkan', 'golongan', 'aplikasi', 'matang', 'kesalahan', 'monopoli', 'pembayaran', 'linkaja', 'memberatkan', 'gojek', 'gopay', 'grab', 'linkaja', 'dompet', 'dibagi', 'efektif', 'terima', 'kasih']","['tuju', 'laku', 'wajib', 'tiket', 'sesuai', 'lansia', 'milik', 'android', 'mudah', 'golong', 'aplikasi', 'matang', 'salah', 'monopoli', 'bayar', 'linkaja', 'berat', 'gojek', 'gopay', 'grab', 'linkaja', 'dompet', 'bagi', 'efektif', 'terima', 'kasih']",250,"['tuju', 'laku', 'wajib', 'tiket', 'sesuai', 'lansia', 'milik', 'android', 'mudah', 'golong', 'aplikasi', 'matang', 'salah', 'monopoli', 'bayar', 'linkaja', 'berat', 'gojek', 'gopay', 'grab', 'linkaja', 'dompet', 'bagi', 'efektif', 'terima', 'kasih']",16,Positive,1
"['bagus', 'hanya', 'terkadang', 'kesalahan', 'aplikasi', 'tahap', 'pembenahan', 'tolong', 'diinformasikan', 'media', 'sosialnya', 'juga', 'pengguna', 'aplikasinya', 'pemeliharaan', 'pembenahan', 'ukuran', 'pengembangan', 'bagus', 'bintang', 'pelayanan', 'memuaskan']","['bagus', 'hanya', 'terkadang', 'salah', 'aplikasi', 'tahap', 'benah', 'tolong', 'informasi', 'media', 'sosial', 'juga', 'guna', 'aplikasi', 'pelihara', 'benah', 'ukur', 'kembang', 'bagus', 'bintang', 'layan', 'muas']",217,"['bagus', 'hanya', 'terkadang', 'salah', 'aplikasi', 'tahap', 'benah', 'tolong', 'informasi', 'media', 'sosial', 'juga', 'guna', 'aplikasi', 'pelihara', 'benah', 'ukur', 'kembang', 'bagus', 'bintang', 'layan', 'muas']",18,Positive,1
"['access', 'mudah', 'memesan', 'tiket']","['access', 'mudah', 'mes', 'tiket']",35,"['access', 'mudah', 'mes', 'tiket']",4,Positive,1
"['pindah', 'kursi', 'mengganti', 'sistematis', 'aplikasi', 'sebelum', 'mudah', 'pemindahan', 'kursi', 'penumpang', 'selebih', 'keren', 'kereta', 'alternatif', 'perjalanan', 'terbaik']","['pindah', 'kursi', 'ganti', 'sistematis', 'aplikasi', 'belum', 'mudah', 'pindah', 'kursi', 'tumpang', 'lebih', 'keren', 'kereta', 'alternatif', 'jalan', 'baik']",161,"['pindah', 'kursi', 'ganti', 'sistematis', 'aplikasi', 'belum', 'mudah', 'pindah', 'kursi', 'tumpang', 'lebih', 'keren', 'kereta', 'alternatif', 'jalan', 'baik']",2,Positive,1
"['pelayanan', 'menyenangkan', 'perjalanan', 'lancar', 'duduk', 'berdesak', 'desakan', 'dahulu', 'datangnya', 'waktu', 'hampir', 'rute']","['layan', 'senang', 'jalan', 'lancar', 'duduk', 'desak', 'desa', 'dahulu', 'datang', 'waktu', 'hampir', 'rute']",111,"['layan', 'senang', 'jalan', 'lancar', 'duduk', 'desak', 'desa', 'dahulu', 'datang', 'waktu', 'hampir', 'rute']",12,Positive,1
"['minggu', 'kereta', 'aplikasi', 'bagus', 'membantu', 'awalnya', 'terkendala', 'aplikasi', 'dibuka', 'teknis', 'ikuti', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'terkendala', 'masalah', 'metode', 'pembayaran', 'habis', 'masalah', 'penumpang']","['minggu', 'kereta', 'aplikasi', 'bagus', 'bantu', 'awal', 'kendala', 'aplikasi', 'buka', 'teknis', 'ikut', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'kendala', 'masalah', 'metode', 'bayar', 'habis', 'masalah', 'tumpang']",240,"['minggu', 'kereta', 'aplikasi', 'bagus', 'bantu', 'awal', 'kendala', 'aplikasi', 'buka', 'teknis', 'ikut', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'kendala', 'masalah', 'metode', 'bayar', 'habis', 'masalah', 'tumpang']",-17,Negative,-1
"['aplikasi', 'bagus', 'kasih', 'masukan', 'aplikasi', 'lupa', 'kata', 'sandi', 'ditambahin', 'pilihan', 'pengiriman', 'tautan', 'nomor', 'telepon', 'email', 'bagaimana', 'lupa', 'nama', 'email', 'daftar', 'sekarang', 'daftar', 'gunakan', 'email', 'nomor', 'telepon', 'nomor', 'telepon', 'tersimpan', 'database', 'access', 'pilihan', 'tetap', 'gunakan', 'nomor', 'telepon', 'terima', 'kasih']","['aplikasi', 'bagus', 'kasih', 'masuk', 'aplikasi', 'lupa', 'kata', 'sandi', 'ditambahin', 'pilih', 'kirim', 'taut', 'nomor', 'telepon', 'email', 'bagaimana', 'lupa', 'nama', 'email', 'daftar', 'sekarang', 'daftar', 'guna', 'email', 'nomor', 'telepon', 'nomor', 'telepon', 'simpan', 'database', 'access', 'pilih', 'tetap', 'guna', 'nomor', 'telepon', 'terima', 'kasih']",369,"['aplikasi', 'bagus', 'kasih', 'masuk', 'aplikasi', 'lupa', 'kata', 'sandi', 'ditambahin', 'pilih', 'kirim', 'taut', 'nomor', 'telepon', 'email', 'bagaimana', 'lupa', 'nama', 'email', 'daftar', 'sekarang', 'daftar', 'guna', 'email', 'nomor', 'telepon', 'nomor', 'telepon', 'simpan', 'database', 'access', 'pilih', 'tetap', 'guna', 'nomor', 'telepon', 'terima', 'kasih']",2,Positive,1
"['sejak', 'aplikasi', 'kai', 'access', 'mudah', 'berpergian', 'langsung', 'pesan', 'tiket', 'aplikasi', 'bepergian', 'stasiun', 'berpergian', 'aplikasi', 'memudahkan']","['sejak', 'aplikasi', 'kai', 'access', 'mudah', 'pergi', 'langsung', 'pesan', 'tiket', 'aplikasi', 'pergi', 'stasiun', 'pergi', 'aplikasi', 'mudah']",148,"['sejak', 'aplikasi', 'kai', 'access', 'mudah', 'pergi', 'langsung', 'pesan', 'tiket', 'aplikasi', 'pergi', 'stasiun', 'pergi', 'aplikasi', 'mudah']",4,Positive,1
"['aplikasi', 'keren', 'menggunakan', 'pesan', 'tiket', 'kereta', 'tidak', 'bisa', 'transfer', 'mobile', 'banking', 'klikbca', 'aplikasi', 'pesan', 'tiket', 'rumah', 'pembayaran', 'bepergian', 'virtual', 'account', 'begitu', 'mudah']","['aplikasi', 'keren', 'guna', 'pesan', 'tiket', 'kereta', 'tidak', 'bisa', 'transfer', 'mobile', 'banking', 'klikbca', 'aplikasi', 'pesan', 'tiket', 'rumah', 'bayar', 'pergi', 'virtual', 'account', 'begitu', 'mudah']",216,"['aplikasi', 'keren', 'guna', 'pesan', 'tiket', 'kereta', 'tidak', 'bisa', 'transfer', 'mobile', 'banking', 'klikbca', 'aplikasi', 'pesan', 'tiket', 'rumah', 'bayar', 'pergi', 'virtual', 'account', 'begitu', 'mudah']",-3,Negative,-1
"['sekali', 'menyediakan', 'online', 'tiket', 'transportasi', 'kesalahan', 'jujur', 'kecewa', 'sumpah', 'sekali', 'jelek', 'maju', 'zaman', 'kesalahan', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesan', 'kesalahan', 'aplikasi', 'selesai', 'kemarin', 'padahal', 'komplain', 'perubahan']","['sekali', 'sedia', 'online', 'tiket', 'transportasi', 'salah', 'jujur', 'kecewa', 'sumpah', 'sekali', 'jelek', 'maju', 'zaman', 'salah', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesan', 'salah', 'aplikasi', 'selesai', 'kemarin', 'padahal', 'komplain', 'ubah']",262,"['sekali', 'sedia', 'online', 'tiket', 'transportasi', 'salah', 'jujur', 'kecewa', 'sumpah', 'sekali', 'jelek', 'maju', 'zaman', 'salah', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesan', 'salah', 'aplikasi', 'selesai', 'kemarin', 'padahal', 'komplain', 'ubah']",-7,Negative,-1
