content,case folding
"Saya sebenarnya kurang setuju dgn pemberlakuan wajib menggunakan e tiket seperti ini karena tdk sesuai untuk para lansia dan org2 tidak mampu yg tdk memiliki android atau keduanya. Ini hanya memudahkan bagi golongan tertentu saja, selain itu, menurut saya aplikasi ini belum matang dan masih banyak terjadi error. Monopoli pembayaran oleh linkAja juga memberatkan, seperti gojek dgn gopay, grab dgn ovo dan KAI dengan linkAja, harus ada brp dompet dibagi2 seperti ini tidak lah efektif. Terimakasih.","saya sebenarnya kurang setuju dgn pemberlakuan wajib menggunakan e tiket seperti ini karena tdk sesuai untuk para lansia dan org2 tidak mampu yg tdk memiliki android atau keduanya. ini hanya memudahkan bagi golongan tertentu saja, selain itu, menurut saya aplikasi ini belum matang dan masih banyak terjadi error. monopoli pembayaran oleh linkaja juga memberatkan, seperti gojek dgn gopay, grab dgn ovo dan kai dengan linkaja, harus ada brp dompet dibagi2 seperti ini tidak lah efektif. terimakasih."
"Nice App, Cuman Kadang Sering Error. Kalau Aplikasi dalam tahap pembenahan tolong bisa diinfokan ke media sosialnya juag yaa, agar para user tahu bahwa apknya sedang maintenance atau pembenahan. Yaa untuk ukuran Pengembangan Sudah Cukup Bagus. Sudah Bintang Lima Yaa, Pelayanan Selalu Memuaskan yaa😊","nice app, cuman kadang sering error. kalau aplikasi dalam tahap pembenahan tolong bisa diinfokan ke media sosialnya juag yaa, agar para user tahu bahwa apknya sedang maintenance atau pembenahan. yaa untuk ukuran pengembangan sudah cukup bagus. sudah bintang lima yaa, pelayanan selalu memuaskan yaa😊"
"Habis di upgrade malah akun tidak bisa di akses.. sampai perlu penanganan CS, dan akhirnya semua histori hilang... Yuuk PT.KAI tingkatkan aplikasinya yah.. agar tidak terjadi lagi saat upgrade sistem... #sbg pelanggan setia anda 😊","habis di upgrade malah akun tidak bisa di akses.. sampai perlu penanganan cs, dan akhirnya semua histori hilang... yuuk pt.kai tingkatkan aplikasinya yah.. agar tidak terjadi lagi saat upgrade sistem... #sbg pelanggan setia anda 😊"
dengan access bu Kai semua jadi mudah memesan tiket KA,dengan access bu kai semua jadi mudah memesan tiket ka
"utk pindah kursi, menngganti nya terlalu lama dan tidak sistematis seperti aplikasi seblm nya.. lebih mudah dalam pemindahan kursi penumpang.. selebih nya, keren.. kereta Api Alternatif Perjalanan terbaik saat ini.","utk pindah kursi, menngganti nya terlalu lama dan tidak sistematis seperti aplikasi seblm nya.. lebih mudah dalam pemindahan kursi penumpang.. selebih nya, keren.. kereta api alternatif perjalanan terbaik saat ini."
Pelayanan baik menyenangkan perjalanan semua jadi lancar dan selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahulu.datangnya juga tepat waktu.hampir tiap jam ada trayek.,pelayanan baik menyenangkan perjalanan semua jadi lancar dan selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahulu.datangnya juga tepat waktu.hampir tiap jam ada trayek.
"Setelah 10 thn, baru 2 minggu lalu sy kembali naik kereta, dan menggunakan aplikasi ini, secara umum bagus dan sgt membantu, awalny terkendala aplikasi tdk bisa dibuka, tp sdh ada jawaban teknis dr KAI dan sy ikuti dan bisa, proses buka akun, verifikasi, login tdk terkendala. Kendala ada d metode pembayaran, yg selalu dikatakan waktu anda habis. Kendala jg kalau penumpang lbh dr 4.","setelah 10 thn, baru 2 minggu lalu sy kembali naik kereta, dan menggunakan aplikasi ini, secara umum bagus dan sgt membantu, awalny terkendala aplikasi tdk bisa dibuka, tp sdh ada jawaban teknis dr kai dan sy ikuti dan bisa, proses buka akun, verifikasi, login tdk terkendala. kendala ada d metode pembayaran, yg selalu dikatakan waktu anda habis. kendala jg kalau penumpang lbh dr 4."
"Aplikasi ini sudah bagus. Tp saya mau kasih masukan lagi untuk aplikasi ini.. Soal lupa password untuk bisa ditambahin pilihan pengiriman tautan ke no.hp juga jangan cuma email saja. Gimana, Oke gak min? Ini saya ada kasus, saya lupa nama email yg lama yg buat daftar itu apa. Dan skrg saya mau dftar pakai email baru dan no.hp yg lama gak bisa, soalnya no.hp saya yg lama sudah tersimpan di database KAI access.. Atau ada pilihan lain gak min agar bisa tetep pakai no.hp yg lama? Terima kasih.!","aplikasi ini sudah bagus. tp saya mau kasih masukan lagi untuk aplikasi ini.. soal lupa password untuk bisa ditambahin pilihan pengiriman tautan ke no.hp juga jangan cuma email saja. gimana, oke gak min? ini saya ada kasus, saya lupa nama email yg lama yg buat daftar itu apa. dan skrg saya mau dftar pakai email baru dan no.hp yg lama gak bisa, soalnya no.hp saya yg lama sudah tersimpan di database kai access.. atau ada pilihan lain gak min agar bisa tetep pakai no.hp yg lama? terima kasih.!"
"semenjak ada aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi, tidak usah pergi ke stasiun, karena saya sering berpergian jadi aplikasi ini sangat memudahkan untuk saya","semenjak ada aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi, tidak usah pergi ke stasiun, karena saya sering berpergian jadi aplikasi ini sangat memudahkan untuk saya"
Aplikasi yang keren dan selalu pake ini kalo mau pesen tiket kereta. Tp KENAPA? Kenapa gabisa transfer lewat mbanking atau klikbca? Harus lewat ATM. Bukannya aplikasi ini dibuat supaya bisa pesen tiket dari rumah? Kalo pembayaran hanya bisa dilakukan lewat ATM sama aja harus pergi. Gak ada lewat virtual account gitu? Biar mudah,aplikasi yang keren dan selalu pake ini kalo mau pesen tiket kereta. tp kenapa? kenapa gabisa transfer lewat mbanking atau klikbca? harus lewat atm. bukannya aplikasi ini dibuat supaya bisa pesen tiket dari rumah? kalo pembayaran hanya bisa dilakukan lewat atm sama aja harus pergi. gak ada lewat virtual account gitu? biar mudah
